consumidor,sentido,ritmo,numero,unidade,procedencia,fonte,constante,o_que_nao_conta
teto do adaptador,—,—,1600,fatias por segundo,especificação,"Bluetooth Core Spec, BR/EDR: uma fatia a cada 625 µs",integrations/radio_da_mesa.py::SLOTS_POR_SEGUNDO,"não é o ar que o adaptador entrega: o medido foi 94% no adaptador de porta direta e 82% no que fica atrás de dois hubs single-TT, com retransmissão, varredura e page scan já descontados"
relatório de entrada (0x31),entrada,elástico,2,fatias por relatório,medido 23/09/2026,"HCIGETDEVINFO sem root: 87 B por pacote ACL = o 0x31 de 83 B num 3-DH1 mais a fatia do POLL; 752,8 pacotes/s vezes 4 fatias passaria de 1.600",integrations/radio_da_mesa.py::FATIAS_POR_RELATORIO_DE_ENTRADA,"não é demanda fixa: a entrada ocupa o ar que sobra (~750 relatórios/s com um controle sozinho, ~400 cada com dois), e por isso não entra no orçamento"
movimento de um controle,entrada,elástico,,Hz,medido ao vivo,"nó «Motion Sensors» do controle, um SYN_REPORT por relatório de estado, pelo carimbo do kernel (MotionSensorReader.hz_do_movimento)",,"não conta relatório que o NOSSO buffer perdeu (SYN_DROPPED) nem o quadro de áudio do microfone (o hid-playstation da casa o descarta); não é o contador do adaptador, que mistura todos os aparelhos dele"
entrada do adaptador,entrada,elástico,,pacotes ACL por segundo,medido ao vivo,"HCIGETDEVINFO, acl_rx por janela (ar_do_adaptador.MedidorDeAr)",,"mistura todos os aparelhos do adaptador; contador parado com enlace de pé é «não sei», nunca zero; adaptador sem conexão é zero"
voz do microfone,entrada,troca,106.2,relatórios por segundo,medido 25/07/2026,"A/B no mesmo controle, integrations/dualsense_bt_audio.py (o quadro Opus viaja no próprio 0x31)",integrations/radio_da_mesa.py::HZ_AUDIO_COM_MIC,"não abre canal nem é ponte: troca relatório de movimento por relatório de voz na mesma fila (movimento cai de 260,4 para 170,5), e só existe com alguém ouvindo"
ponte de som (0x35),saída,fixo,93.75,relatórios por segundo,do código,"ritmo da BombaDeSomPeloRadio: um quadro Opus de 10 ms e mais um pedaço",integrations/radio_da_mesa.py::HZ_DA_PONTE,"não cede: é o que transborda o adaptador; não conta o 0x31 que o controle devolve na fatia de resposta, que é entrada"
ponte de vibração (0x32),saída,fixo,93.75,relatórios por segundo,do código,"mesmo escritor da ponte de som, com o arranjo da háptica; som e vibração nunca juntos no mesmo controle",integrations/radio_da_mesa.py::HZ_DA_PONTE,"não cede; conta como ponte igual à de som"
fatias por relatório de ponte (k),saída,fixo,3,fatias por relatório,provisório,"o 0x35 de 339 B no ar cabe em 3 fatias (2-DH3/3-DH3) ou 5 (DH5); quem escolhe é o firmware do adaptador, e isso não se observa por HCI",integrations/radio_da_mesa.py::FATIAS_DA_PONTE,"não é medido: a bancada dela mede por deslocamento (1 controle sozinho, ponte ligada e desligada)"
pontes por adaptador (n_max),saída,fixo,2,pontes,medido 22/09/2026,"duas pontes viveram 63 min no mesmo adaptador; a terceira derrubou em 11, 15 e 89 s",integrations/radio_da_mesa.py::N_MAX_PONTES,"não é fórmula: é o teto medido, provisório até a bancada; a palavra do adaptador (Folgada/Apertada/Cheia) lê as pontes contra ele, sem conta aditiva"
barra de luz e gatilhos (0x31 de saída),saída,sob demanda,0,relatórios por segundo em regime,do código,"o escritor só manda quando a cor ou a curva muda; o keepalive de 0,5 s ocupa o lugar de um POLL",,"não conta como ponte: custo marginal zero"
caixa ou fone (A2DP),saída,fixo,,fatias por segundo,estimado,"SBC a 328 kbit/s, ~62 a 75 pacotes/s de 4 a 6 fatias: 300 a 375 fatias",,"não é medido e não entra nas pontes: o produto não escreve o A2DP de ninguém"
busca no próprio adaptador,—,—,32.5,% do ar do adaptador (piso),medido 20/09/2026,"a varredura derrubou a entrada de 32,5% a 43,4% no MESMO adaptador; nos outros, ruído",integrations/varredura_do_radio.py::QUEDA_MINIMA_MEDIDA,"não vale para outro adaptador; não é consumidor nosso — quem varre é quem abriu a busca"
canais do rádio,—,—,79,canais,especificação,"BR/EDR de 2.402 a 2.480 MHz; o AFH de cada enlace é lido do rádio (Read AFH Channel Map, sem root)",integrations/ar_do_adaptador.py::CANAIS_DO_BT,"adaptador sem enlace não tem mapa: «não sei», nunca «evita zero»; o vizinho que ocupa o canal é dedução, o rádio só diz o que EVITA"
